title,st_resume,st_justification
Israël et la Turquie poussés à se réconcilier à cause de la Syrie,"L'article traite des relations entre Israël et la Turquie, poussées à se réconcilier en raison de la situation en Syrie. La crainte principale est que les armes chimiques du régime syrien ne tombent entre les mains d'extrémistes.","L'article reproduit l'idée reçue en présentant le régime de Bachar al-Assad comme le seul rempart contre les extrémistes, sans mentionner d'autres acteurs ou alternatives en Syrie. La préoccupation centrale est la chute du régime et ses conséquences, sans nuance sur la diversité des forces en présence."
"Syrie: Obama réclame une résolution ""ferme"" assortie de ""conséquences""","L'article traite des discussions à l'ONU sur une résolution concernant la Syrie, notamment le démantèlement des armes chimiques et les tensions entre les Occidentaux et la Russie. Il mentionne aussi les combats des rebelles contre le régime et les groupes extrémistes.","L'article évoque la lutte contre les groupes extrémistes, comme Al-Qaïda, et la nécessité de soutenir les rebelles, ce qui peut être interprété comme une reproduction de l'idée que l'opposition syrienne est fondamentalement islamiste ou jihadiste. Cependant, le stéréotype central (Assad vs Daech) n'est pas dominant dans l'article."
"Syrie: près de 30 morts dans un attentat, 4 humanitaires libérés","L'article rapporte des événements récents en Syrie, notamment un attentat et des enlèvements, tout en évoquant les tensions diplomatiques autour de la conférence de paix Genève-2. Il mentionne également l'EIIL, un groupe jihadiste lié à Al-Qaïda.","L'article évoque la menace jihadiste en Syrie, notamment à travers l'EIIL, et mentionne indirectement le régime de Bachar al-Assad comme un acteur central. Cependant, il ne développe pas une vision binaire opposant uniquement Assad et Daech, mais reproduit l'idée que l'opposition est divisée et que le régime est un acteur incontournable."
Liban: quatre morts dans un nouvel attentat suicide ,Un attentat suicide revendiqué par un groupe lié à Al-Qaïda frappe un bastion du Hezbollah au Liban. Le conflit syrien est évoqué comme un contexte exacerbant les tensions sectaires au Liban.,"L'article mentionne que les groupes responsables de l'attentat combattent le régime syrien de Bachar al-Assad, ce qui implique une vision binaire du conflit syrien entre le régime et les groupes jihadistes. Cependant, l'article ne développe pas cette idée de manière centrale, elle est simplement évoquée dans le contexte des tensions sectaires au Liban."
Proposition de loi au Sénat américain pour armer les rebelles syriens,"Proposition de loi au Sénat américain pour armer les rebelles syriens, avec des critères stricts de sélection. Le texte vise à contrer le régime Assad, accusé d'avoir utilisé des armes chimiques.","L'article mentionne le régime Assad comme principal antagoniste et évoque l'aide aux rebelles pour contrer ce régime, sans mentionner d'autres acteurs ou alternatives. Cela reproduit l'idée reçue selon laquelle le conflit se résume à un duel entre Assad et les rebelles."
"Syrie: ""progrès encourageants"" des inspecteurs sur les armes chimiques","L'article traite du désarmement chimique en Syrie et des tensions entre le régime de Bachar al-Assad et les groupes rebelles, notamment les jihadistes affiliés à Al-Qaïda.","L'article mentionne que les jihadistes s'attaquent aux rebelles et aux Kurdes, ce qui peut laisser penser que le régime de Bachar al-Assad est le seul rempart contre les jihadistes. Cependant, l'article ne développe pas cette idée et ne la critique pas non plus."
Syrie: 26 morts dans de nouveaux raids aux barils d'explosifs à Alep,"L'article décrit les violences à Alep, où les civils fuient vers les secteurs contrôlés par le régime pour échapper aux combats entre rebelles et jihadistes de l'EIIL. Il mentionne également les pourparlers de paix infructueux.","L'article évoque la fuite des civils vers les zones contrôlées par le régime, présentant implicitement Assad comme une alternative aux jihadistes de l'EIIL, ce qui reproduit le stéréotype du duel entre Assad et Daech."
Syrie: des dizaines de rebelles tués dans une embuscade de l'armée,"L'article rapporte des combats entre l'armée syrienne et des groupes rebelles, notamment des islamistes, sans mentionner d'autres acteurs ou alternatives politiques.","L'article utilise le terme 'terroristes' pour désigner les rebelles, notamment le Front al-Nosra, et ne mentionne aucune alternative politique ou civile à Assad, renforçant l'idée d'un conflit binaire entre le régime et les groupes jihadistes."
Ankara en faveur d'une opération terrestre en Syrie avec ses alliés,"La Turquie plaide pour une intervention militaire terrestre en Syrie avec ses alliés, ciblant l'EI, le régime de Damas et les milices kurdes. Les frappes aériennes russes et les tensions internationales s'intensifient.","L'article évoque la nécessité de lutter contre l'EI et le régime de Damas, mais ne mentionne pas d'autres alternatives, reproduisant ainsi le stéréotype de l'opposition binaire entre Assad et Daech."
Conflit en Syrie - Un attentat à la voiture piégée à la frontière syro-turque a fait 43 morts,"Un attentat à la voiture piégée à la frontière syro-turque a fait 43 morts. L'article mentionne les combats entre rebelles islamistes et jihadistes de l'EIIL, ainsi que la complexité du conflit syrien.","L'article mentionne les combats entre rebelles islamistes et jihadistes de l'EIIL, ainsi que la complexité du conflit syrien, mais il ne nuance pas la vision binaire du conflit en Syrie, reproduisant ainsi le stéréotype."
"Syrie: le G8 pour une conférence de paix ""dès que possible""",Le G8 appelle à une conférence de paix en Syrie et exprime son inquiétude face au terrorisme et à l'extrémisme. La Russie et les autres pays du G8 divergent sur le sort de Bachar al-Assad.,"L'article mentionne la menace du terrorisme et de l'extrémisme en Syrie, ce qui peut être interprété comme une reproduction de l'idée que le conflit se résume à un duel entre Assad et Daech. Cependant, l'article ne critique pas cette vision et ne mentionne pas d'autres acteurs ou alternatives."
Irak: le nouveau chef d'Al-Qaïda à visage découvert sur Youtube,"L'article décrit l'émergence d'un nouveau chef jihadiste en Irak, Chaker Wahiyib al-Fahdaoui, connu pour ses attaques violentes, notamment contre des alaouites, une branche du chiisme à laquelle appartient le clan du président syrien Bachar al-Assad.","L'article mentionne que les victimes sont des alaouites, une branche du chiisme à laquelle appartient le clan du président syrien Bachar al-Assad, en lutte contre les rebelles, y compris ceux liés à Al-Qaïda. Cela implique que le régime d'Assad est en lutte contre les jihadistes, renforçant l'idée que le conflit syrien se résume à un duel entre Assad et Daech."
Syrie: selon les experts la guerre pourrait durer encore 10 ans,L'article analyse la situation en Syrie et la stratégie d'Assad face aux groupes extrémistes. Il souligne l'échec des négociations de paix et l'impact des djihadistes sur la politique occidentale.,"L'article reproduit le stéréotype en présentant la situation comme un duel entre Assad et les groupes extrémistes, sans mentionner d'autres acteurs ou alternatives. Il souligne le rôle des djihadistes au sein de l'opposition, ce qui renforce l'idée que l'opposition est fondamentalement islamiste ou jihadiste."
"La Syrie n'est ""pas en guerre civile"", mais attaquée par Al-Qaïda (Assad)","Bachar al-Assad affirme que la Syrie n'est pas en guerre civile mais attaquée par des jihadistes, majoritairement membres d'Al-Qaïda. Il nie l'implication de son régime dans l'attaque chimique du 21 août et annonce le démantèlement de l'arsenal chimique syrien.","L'article reproduit le stéréotype en présentant le conflit syrien comme un affrontement entre le régime d'Assad et des jihadistes, sans mentionner d'autres acteurs ou alternatives. Assad est présenté comme le seul rempart contre le terrorisme, effaçant ainsi la diversité des oppositions."
"Syrie: pour Assad, écraser le ""terrorisme"" est la seule sortie possible","Bachar al-Assad affirme que la seule solution à la crise syrienne est d'écraser le terrorisme, faisant référence aux rebelles. Il salue le peuple syrien pour son soutien à l'armée et parle des réalisations de l'armée dans la défense du pays.","L'article reproduit le stéréotype en présentant la vision d'Assad selon laquelle la seule solution est de réprimer le terrorisme, sans mentionner d'autres alternatives ou acteurs. Le stéréotype est dominant car il est central dans le discours rapporté."
Syrie: Assad vainqueur attendu de la présidentielle dans un pays en guerre,L'article décrit la présidentielle syrienne et les réactions internationales. Il mentionne les violences et les divisions entre les différentes factions syriennes.,"L'article reproduit l'idée reçue en évoquant la peur des terroristes si Assad n'est pas au pouvoir, sans mentionner d'autres alternatives crédibles."
"Syrie: la chute de Deir Ezzor ne signifie par la fin de la guerre, affirme Bachar al-Assad","Bachar al-Assad affirme que la victoire à Deir Ezzor ne signifie pas la fin de la guerre en Syrie et qu'il continuera à combattre les groupes qu'il considère comme terroristes, y compris les FDS.","L'article reproduit l'idée que le régime d'Assad est en guerre contre des groupes terroristes, sans mentionner d'autres acteurs ou alternatives politiques. Il renforce ainsi le stéréotype selon lequel le conflit syrien se résume à un duel entre Assad et Daech."
"Etats-Unis et Arabie saoudite, alliés fragiles dans un Moyen-Orient agité","L'article traite des relations entre les Etats-Unis et l'Arabie saoudite, notamment dans le contexte de la lutte contre l'Etat islamique en Syrie. L'Arabie saoudite regrette que les Etats-Unis ne s'investissent pas davantage pour évincer Bachar al-Assad.","L'article évoque l'idée que l'Arabie saoudite souhaite voir Assad évincé, ce qui peut être interprété comme une vision binaire du conflit syrien, mais ne développe pas suffisamment pour déterminer si le stéréotype est reproduit, nuancé ou critiqué."
Syrie: les rebelles menacent un centre d'opérations clé du régime,"Des groupes rebelles syriens, alliés à Al-Qaïda, menacent un centre d'opérations militaire clé du régime Assad. Les combats sont intenses et stratégiques, avec des implications pour la province de Lattaquié, un bastion du régime.","L'article présente le conflit comme une menace directe contre le régime Assad, sans mentionner d'autres acteurs ou alternatives. Il renforce l'idée que le régime est le seul rempart contre les groupes rebelles, reproduisant ainsi le stéréotype d'un duel entre Assad et les jihadistes."
"L'armée syrienne avance, l'Otan s'inquiète des opérations russes","L'article décrit l'avancée de l'armée syrienne avec le soutien russe et du Hezbollah contre des groupes rebelles et jihadistes, notamment l'Etat islamique (EI). L'Otan exprime son inquiétude face à l'engagement russe.","L'article reproduit le stéréotype en présentant le conflit syrien comme un affrontement entre le régime de Bachar al-Assad et des groupes terroristes, sans mentionner d'autres acteurs ou alternatives. L'accent est mis sur la lutte contre le terrorisme, effaçant la diversité des oppositions."
Syrie: Damas prêt à des pourparlers avec l'opposition fin janvier,"Le régime syrien est prêt à négocier avec l'opposition, mais considère la plupart des groupes opposants comme des terroristes. L'EI est présenté comme une menace majeure, poussant à une solution politique. Les combats entre le régime et l'EI sont décrits en détail.","L'article reproduit le stéréotype en présentant le régime syrien comme le seul rempart contre l'EI, effaçant la diversité de l'opposition. Il mentionne également les combats entre le régime et l'EI, renforçant l'idée d'un duel entre Assad et Daech."
"Syrie: le groupe EI s'empare de champs gaziers, des morts à Palmyre","L'article décrit les combats entre les forces du régime syrien et l'EI pour le contrôle des champs gaziers et de la ville de Palmyre, soulignant l'importance stratégique de ces zones.","L'article mentionne que les champs gaziers sont importants pour le régime de Bachar al-Assad, impliquant que le régime est un acteur clé face à l'EI. Cela reproduit l'idée que le conflit se résume à un duel entre Assad et Daech, sans mentionner d'autres acteurs ou alternatives."
Damas dénonce le refus de F. Hollande de coopérer avec B. al-Assad,"L'article traite de la position de la France et de la Syrie concernant la coopération contre les jihadistes. La Syrie accuse la France de soutenir les groupes terroristes, tandis que la France refuse de coopérer avec le régime d'Assad.","L'article reproduit le stéréotype en présentant le conflit comme un choix binaire entre Assad et Daech. La France refuse de coopérer avec Assad, le qualifiant d'allié objectif des jihadistes, ce qui renforce l'idée que Assad est le seul rempart contre Daech."
"En Jordanie, web et mosquées sous haute surveillance contre l'EI","La Jordanie renforce sa surveillance contre l'EI, notamment via internet et les mosquées, après avoir rejoint les frappes contre les groupes extrémistes en Syrie et en Irak. Des salafistes sont arrêtés pour leur soutien au jihad contre le régime de Bachar al-Assad ou pour propagande en ligne.","L'article évoque le conflit syrien en mentionnant les jihadistes engagés contre le régime de Bachar al-Assad, ce qui renforce l'idée d'un duel entre Assad et Daech. Cependant, cette idée n'est pas centrale et n'est pas explicitement reproduite ou critiquée."
Syrie: 21 civils tués par des raids du régime sur un fief de l'EI,"L'article décrit des raids du régime syrien sur Al-Bab, fief de l'EI, tuant des civils. Il mentionne la stratégie du régime de ne pas distinguer entre rebelles modérés et jihadistes.","L'article reproduit l'idée reçue en affirmant que le régime syrien ne fait pas de distinction entre les rebelles modérés et les jihadistes, ce qui sous-entend que l'opposition est fondamentalement jihadiste. Cela efface la diversité de l'opposition et renforce la vision binaire du conflit."
"Syrie: le groupe EI s'empare de Palmyre, élargit sa zone d'influence",L'article décrit la prise de Palmyre par Daech et l'expansion de son territoire en Syrie. Il mentionne la retraite des forces du régime syrien face à l'avancée de Daech.,"L'article reproduit l'idée que le régime syrien est en retrait face à Daech, sans mentionner d'autres acteurs ou alternatives. Il ne nuance pas cette vision binaire."
"Le Parlement britannique vote pour des frappes contre l'EI en Syrie









",Le Parlement britannique vote en faveur de frappes aériennes contre l'EI en Syrie. Le débat est marqué par des divisions politiques et des manifestations contre l'intervention.,"L'article évoque le conflit syrien en se concentrant uniquement sur l'EI et les frappes britanniques, sans mentionner d'autres acteurs ou alternatives au régime d'Assad. Cela reproduit l'idée reçue que le conflit se résume à un duel entre Assad et Daech."
Armes turques en Syrie ? Le président Erdogan menace un journal ,L'article traite d'un scandale politique en Turquie impliquant des livraisons d'armes aux rebelles syriens via des camions du MIT. Erdogan menace le journal Cumhuriyet pour avoir révélé l'affaire.,"L'article évoque la lutte contre le président Bachar al-Assad par des rebelles islamistes syriens, sans mentionner d'autres acteurs ou alternatives, ce qui renforce l'idée d'un conflit binaire entre Assad et les groupes islamistes."
"Pour Bachar al-Assad, ""les Russes sont des gens de principes""","Bachar al-Assad affirme sa confiance en la Russie et en l'Iran, soulignant leur soutien dans la lutte contre le terrorisme. Il critique les rebelles syriens et les accuse d'être des outils d'Israël.","L'article reproduit le stéréotype en présentant Bachar al-Assad comme le seul rempart contre le terrorisme, effaçant ainsi la diversité des acteurs de l'opposition syrienne. Il met en avant la lutte contre le terrorisme comme priorité, sans mentionner d'autres alternatives politiques ou civiles."
Israël promet une réponse sévère après le lynchage de blessés syriens,"L'article traite du lynchage de deux Syriens par des Druzes du Golan occupé, avec des tensions entre partisans du régime de Bachar al-Assad et des groupes rebelles syriens et jihadistes.","L'article évoque la division entre le régime de Bachar al-Assad et les groupes rebelles syriens et jihadistes, ce qui reproduit l'idée reçue que le conflit syrien se résume à un duel entre Assad et Daech, sans mentionner d'autres acteurs ou perspectives."
Conflit en Syrie - L'armée reprend à l'EI une ville dans le centre après plus de vingt jours de combats,"L'armée syrienne, soutenue par la Russie, reprend une ville à l'EI dans le centre de la Syrie après des combats intenses. Les forces du régime progressent également vers d'autres zones contrôlées par l'EI.","L'article met en avant les victoires militaires de l'armée syrienne contre l'EI, sans mentionner d'autres acteurs ou alternatives. Il reproduit l'idée que le régime d'Assad est le principal acteur contre l'EI, renforçant ainsi le stéréotype."
"Initiative de paix de l'ONU en Syrie, les Etats-Unis prêts à discuter avec Moscou",L'article discute des initiatives de paix de l'ONU en Syrie et des discussions entre les États-Unis et la Russie. Il mentionne également les attaques du régime syrien et les réactions internationales.,"L'article reproduit le stéréotype en mentionnant que la lutte contre le terrorisme (EI) est liée à la nécessité de soutenir Assad, sans suffisamment nuancer la diversité des acteurs en Syrie."
"Egypte: ""Un bras de fer commence entre l'armée et Morsi""","L'article traite des tensions politiques en Égypte après l'élection de Mohamed Morsi, avec un focus sur les relations entre l'armée et les Frères musulmans. Il aborde également brièvement les tensions entre la Turquie et la Syrie, mentionnant le régime d'Assad.","L'article évoque le régime d'Assad dans le contexte des tensions avec la Turquie, sans nuancer le stéréotype selon lequel Assad serait le seul rempart contre Daech. Il reproduit implicitement cette idée en présentant Assad comme un acteur central et puissant, sans mentionner d'autres acteurs ou alternatives."
"Visite d'Assad à Moscou, réunion quadripartite sur le conflit syrien",L'article traite de la visite de Bachar al-Assad à Moscou et des discussions quadripartites sur le conflit syrien. Il mentionne l'intervention militaire russe en soutien au régime syrien contre les rebelles et les groupes jihadistes.,"L'article reproduit l'idée que le régime d'Assad est le seul rempart contre les groupes jihadistes comme Daech, en soulignant l'importance de l'intervention militaire russe pour lutter contre le terrorisme. Il ne mentionne pas d'autres alternatives politiques ou acteurs significatifs en Syrie."
Syrie: Bachar al-Assad veut que la trêve tienne,L'article traite de la trêve en Syrie et des efforts d'Assad pour la maintenir. Il mentionne les groupes djihadistes exclus de la trêve et les accusations mutuelles entre le pouvoir et les rebelles.,"L'article reproduit le stéréotype en opposant implicitement Assad aux groupes djihadistes comme l'EI et Al-Nosra, sans mentionner d'autres acteurs ou alternatives. La trêve est présentée comme un effort d'Assad pour maintenir l'ordre face aux terroristes."
Syrie: 71 morts dans des combats entre le régime et des rebelles ,"L'article décrit des combats entre le régime de Bachar al-Assad et des groupes rebelles islamistes dans le nord de la Syrie, notamment le Front al-Nosra et l'Etat islamique. Les forces du régime ont repris le contrôle de plusieurs régions avec le soutien de l'aviation russe.","L'article reproduit le stéréotype en présentant le conflit comme une opposition entre le régime de Bachar al-Assad et des groupes rebelles islamistes, sans mentionner d'autres acteurs ou alternatives. Le stéréotype est présent mais pas dominant, car l'article se concentre principalement sur les événements récents et les pertes humaines."
Appel à l'unité de deux branches d'Al-Qaïda contre la coalition anti-EI,"Al-Qaïda appelle à l'unité contre la coalition anti-EI, incluant l'opposition syrienne modérée. Les groupes jihadistes critiquent les Etats-Unis et soutiennent la lutte contre Assad.","L'article mentionne l'opposition syrienne modérée et son soutien par les Etats-Unis, mais ne développe pas les autres acteurs du conflit syrien. Il reproduit l'idée d'une opposition principalement islamiste et jihadiste, sans nuancer la diversité des forces en présence."
Syrie: des convois d'aide humanitaire ont pénétré dans des villes assiégées ,"L'article décrit l'acheminement de l'aide humanitaire dans des zones assiégées en Syrie, mentionnant les actions du régime syrien et des groupes rebelles, dont l'Etat islamique.","L'article évoque le régime syrien et l'Etat islamique comme des acteurs principaux du conflit, sans mentionner d'autres groupes ou acteurs, ce qui reproduit l'idée reçue d'un duel entre Assad et Daech."
"Syrie: le régime reprend Palmyre, une victoire majeure face à l'EI","L'article décrit la reprise de Palmyre par le régime syrien avec l'aide russe, présentant cette victoire comme un coup dur contre Daech. Il met en avant le rôle crucial du régime dans la lutte contre le groupe jihadiste.","L'article reproduit le stéréotype en présentant le conflit syrien comme un duel entre Assad et Daech, sans mentionner d'autres acteurs ou alternatives. La victoire du régime est présentée comme essentielle pour contrer Daech, renforçant l'idée qu'Assad est le seul rempart contre le groupe jihadiste."
"Syrie: l'EI commet des ""génocides"" et ""Assad est un criminel de guerre""","L'article traite des crimes commis par l'EI en Syrie et en Irak, qualifiés de génocides par les Etats-Unis. Il mentionne également Bachar al-Assad comme un criminel de guerre.","L'article évoque la nécessité de juger toutes les parties impliquées dans les crimes en Syrie, y compris Bachar al-Assad, ce qui implique que le conflit se résume à un duel entre Assad et l'EI."
Syrie: bombardements et victimes civiles avant la trêve de l'Aïd el-Adha,L'article décrit les tensions et les bombardements en Syrie avant une trêve négociée par Moscou et Washington. Il mentionne les difficultés des insurgés et l'influence des groupes jihadistes.,"L'article évoque la nécessité de choisir entre le régime de Bachar al-Assad et les groupes jihadistes comme l'Etat islamique, sans mentionner d'autres alternatives ou acteurs significatifs dans le conflit syrien."
Syrie: au moins 70 morts dans un attentat antichiite de l'EI près de Damas,Un attentat de l'EI près de Damas fait au moins 70 morts. L'article mentionne les négociations de Genève et le rôle du Hezbollah en soutien au régime d'Assad.,"L'article évoque le soutien du Hezbollah au régime d'Assad, impliquant indirectement que le régime est un rempart contre des groupes comme l'EI, ce qui reproduit le stéréotype."
"Bachar al-Assad: ""Le groupe Etat islamique n'est pas né en Syrie""","Bachar al-Assad affirme que Daech n'est pas né en Syrie et accuse l'Occident et des pays comme la Turquie, l'Arabie Saoudite et le Qatar de soutenir le terrorisme. Il insiste sur la nécessité de vaincre le terrorisme avant toute transition politique.","L'article reproduit le stéréotype en présentant Assad comme le seul rempart contre Daech, en insistant sur la nécessité de vaincre le terrorisme avant toute transition politique, sans mentionner d'autres acteurs ou alternatives."
"Syrie: vaste offensive du régime, un drone abattu par la Turquie","Le régime syrien lance une offensive près d'Alep avec le soutien russe pour reprendre une autoroute stratégique. Les frappes russes ciblent des groupes rebelles, dont des islamistes. La situation humanitaire se dégrade.","L'article mentionne que le régime syrien, soutenu par la Russie, combat des groupes rebelles, dont des islamistes, sans mentionner d'autres acteurs comme l'opposition modérée ou les Kurdes. Cela reproduit l'idée que le conflit se résume à un duel entre Assad et les groupes jihadistes."
Syrie : Poutine et Kerry n'ont pas discuté de coopération militaire directe,"L'article traite des discussions entre la Russie et les États-Unis concernant la lutte contre les jihadistes en Syrie, sans mention de coopération militaire directe. La position de la Russie sur Bachar al-Assad est réaffirmée.","L'article évoque la lutte contre les jihadistes en Syrie et la position de la Russie en soutien à Bachar al-Assad, ce qui reproduit l'idée que le conflit se résume à un duel entre Assad et Daech, sans nuancer cette vision."
Le régime syrien et l'opposition saluent l'accord de trêve russo-américain,"L'article rapporte l'accord de trêve russo-américain en Syrie, salué par le régime et l'opposition. Les États-Unis et la Russie prévoient des frappes coordonnées contre les terroristes et une collaboration militaire si la trêve tient.","L'article évoque la nécessité de la pression russe sur le régime d'Assad pour mettre fin au conflit, ce qui sous-entend qu'Assad est un acteur central et que sa chute pourrait mener au chaos ou à la prise de pouvoir par des terroristes. Cela reproduit l'idée reçue selon laquelle il n'y a pas d'alternative crédible à Assad."
Réfugiés: l'Iran appelle l'Europe à accomplir son devoir humanitaire,L'article traite de la crise des réfugiés syriens et des réactions européennes. Le président iranien Hassan Rohani appelle l'Europe à accomplir son devoir humanitaire. Il blâme les opposants au régime syrien et les groupes extrémistes pour le problème des réfugiés.,"L'article évoque brièvement le conflit syrien en mentionnant les acteurs multiples (régime, rebelles, djihadistes, Kurdes), mais il reproduit l'idée reçue en blâmant les opposants au régime syrien et les groupes extrémistes pour la crise des réfugiés, sans nuancer sur la complexité de la situation."
